,Violence against the person ratio,Sexual offences ratio,Robbery ratio,Theft offences ratio,Criminal damage and arson ratio,Drug offences ratio,Other Crime Ratio,Total Employee All (thousands),Male life expectancy at birth (2012/2020)4,Female life expectancy at birth (2020)4,Median,Lower quartile,total_hoseholds_projected_2020,Year 2020: Households with dependent children ratio,Year 2020: One person households: Female ratio,Year 2020: One person households: Male ratio,pop_ratio_under_10,pop_ratio_teenager,pop_ratio_20_39,pop_ratio_40_60,pop_ratio_60_80,pop_ratio_80_90+,POP All ages,Total area as at 31 December 2020 (Hectares),median_houses_2020,median_earning_2020,ratio_by_medians_2020,lower_quatile_houses_2020,lower_quatile_earning_2020,ratio_by_lower_quatile_2020,Total_Threaten_or_is_Homeless,A_B_property_counts,C_D_property_counts,E_F_property_counts,G_H_property_counts,Taxi_only_licensed_drivers,Total_licensed_vehicles,total_drivers,Retail,Education,Health,"Arts, entertainment, recreation & other services"
61,0.417229165,0.050457796,0.003809397,0.234511796,0.122034351,0.037291987,0.134665508,40.1,79.5,83.3,975.0,822.5,53371.0,0.423709875,0.314098353,0.262191773,0.1053121555,0.111738734,0.21684382400000002,0.2608932445,0.24293499000000002,0.062277052,131023.0,61735.0,203500.0,28089.0,7.225,145655.0,20241.0,7.205,41.0,22185.0,30945.0,11835.0,3175.0,0.0,239.0,239.0,397.5,162.5,315.0,440.0
62,0.327259475,0.032126037,0.009250953,0.374187037,0.113478358,0.033864095,0.109834044,30.3,80.1,83.3,625.0,550.0,52487.0,0.46235909,0.29058878,0.24705213,0.107883186,0.109134888,0.233527009,0.276634613,0.216620574,0.056199731,118239.0,12000.0,193000.0,30019.0,6.43,147500.0,22617.0,6.52,54.0,29870.0,16960.0,5520.0,980.0,0.0,751.0,751.0,280.0,60.0,175.0,215.0
63,0.251770538,0.022308782,0.055112027,0.472347412,0.055401751,0.054146279,0.088913211,132.2,78.5,83.3,1600.0,1330.0,119136.0,0.4541969,0.227365052,0.318438048,0.136316878,0.109649357,0.399849079,0.239655301,0.094738753,0.019790632,280941.0,1900.0,626000.0,37585.0,16.66,447000.0,27302.0,16.37,545.0,39880.0,59560.0,17300.0,1280.0,0.0,253.5,253.5,1850.0,430.0,635.0,1660.0
64,0.340868297,0.023894997,0.008806372,0.265256899,0.138097375,0.041956473,0.181119587,62.2,78.1,82.4,549.5,475.0,58325.5,0.3723929035,0.3107093195,0.316897777,0.130472301,0.117944096,0.269350004,0.256489418,0.180150466,0.045593715,156447.0,116685.0,175000.0,29611.0,5.91,133000.0,21031.0,6.32,249.5,40895.0,20910.0,5495.0,770.0,0.0,865.0,865.0,457.5,67.5,175.0,320.0
65,0.431457915,0.049564635,0.00323733,0.201607502,0.129716455,0.034829203,0.149586961,32.05,80.0,83.5,563.5,487.5,40132.5,0.4494039955,0.2824168585,0.2681791465,0.098145737,0.113900185,0.25934921,0.236612314,0.227888249,0.064104305,125171.0,14505.0,158500.0,27566.0,5.75,112000.0,20816.0,5.38,180.0,37405.0,14795.0,4775.0,695.0,0.0,397.0,397.0,247.5,65.0,152.5,247.5
66,0.286326398,0.021903815,0.04658417,0.446165975,0.062763514,0.050766119,0.085490008,105.0,80.7,84.1,1300.0,1100.0,129524.0,0.577406531,0.218262464,0.204331005,0.143347912,0.130649576,0.276092893,0.266934863,0.144457068,0.038517688,333587.0,8220.0,415000.0,33161.0,12.51,335000.0,24476.0,13.69,735.0,17150.0,71310.0,30730.0,6870.0,0.0,607.5,607.5,1390.0,225.0,600.0,880.0
67,0.387184562,0.028946066,0.002474023,0.230084117,0.146462147,0.023750619,0.181098466,62.2,78.0,81.6,587.5,500.0,58325.5,0.3723929035,0.3107093195,0.316897777,0.113411085,0.11187152,0.252277712,0.255188122,0.212238485,0.055013076,94832.0,5085.0,158000.0,29006.0,5.45,116000.0,22329.0,5.2,153.0,37060.0,8790.0,2175.0,215.0,0.0,195.0,195.0,270.0,62.5,150.0,197.5
68,0.411092778,0.035537505,0.007234421,0.273131108,0.115243051,0.023860896,0.133900241,36.4,79.7,83.2,600.0,525.0,51459.0,0.456802009,0.290748905,0.252449087,0.108772934,0.108512815,0.237583671,0.279176638,0.208207609,0.057746332,115332.0,10960.0,167500.0,29203.0,5.74,128000.0,21260.0,6.02,75.0,35770.0,12970.0,3200.0,550.0,0.0,200.0,200.0,270.0,60.0,125.0,195.0
69,0.351910325,0.039785286,0.003789075,0.30786233,0.131512472,0.028733817,0.136406694,47.1,81.6,84.9,975.0,808.0,69407.0,0.465565525,0.308490792,0.225943683,0.09977079,0.110794983,0.18365052,0.272661353,0.25990426,0.073218093,162733.0,83490.0,325000.0,34747.0,9.35,255000.0,23770.0,10.73,83.0,12310.0,32170.0,19110.0,7920.0,0.0,302.0,302.0,545.0,160.0,265.0,510.0
70,0.397554585,0.042445415,0.008034934,0.27510917,0.102008734,0.030218341,0.144628821,48.0,80.8,83.9,875.0,775.0,49835.0,0.48830448,0.292846211,0.218849309,0.100096271,0.107170486,0.211727896,0.275352851,0.23494473,0.070707765,116338.0,7430.0,299950.0,32965.0,9.1,243000.0,25666.0,9.47,155.0,10850.0,26280.0,11620.0,1600.0,128.0,228.0,356.0,225.0,90.0,170.0,280.0
